"Sample_ID","total_sites","homozygous_sites","heterozygous_sites","missing_sites","prop_homozygous","prop_heterozygous","prop_missing"
"CU0052",983,878,5,100,0.893184130213632,0.00508646998982706,0.101729399796541
"CU0053",983,879,2,102,0.894201424211597,0.00203458799593082,0.103763987792472
"CU0054",983,903,2,78,0.918616480162767,0.00203458799593082,0.0793489318413021
"CU0055",983,864,2,117,0.878942014242116,0.00203458799593082,0.119023397761953
"CU0056",983,912,2,69,0.927772126144456,0.00203458799593082,0.0701932858596134
"CU0057",983,880,1,102,0.895218718209563,0.00101729399796541,0.103763987792472
"CU0058",983,869,5,109,0.884028484231943,0.00508646998982706,0.11088504577823
"CU0059",983,842,22,119,0.856561546286877,0.0223804679552391,0.121057985757884
"CU0060",983,874,18,91,0.88911495422177,0.0183112919633774,0.0925737538148525
"CU0061",983,900,4,79,0.915564598168871,0.00406917599186165,0.0803662258392675
"CU0062",983,903,4,76,0.918616480162767,0.00406917599186165,0.0773143438453713
"CU0063",983,885,2,96,0.90030518819939,0.00203458799593082,0.0976602238046795
"CU0064",983,872,5,106,0.887080366225839,0.00508646998982706,0.107833163784334
"CU0065",983,905,2,76,0.920651068158698,0.00203458799593082,0.0773143438453713
"CU0066",983,863,1,119,0.877924720244151,0.00101729399796541,0.121057985757884
"CU0067",983,728,11,244,0.74059003051882,0.0111902339776195,0.248219735503561
"CU0068",983,851,3,129,0.865717192268566,0.00305188199389624,0.131230925737538
"CU0069",983,867,13,103,0.881993896236012,0.0132248219735504,0.104781281790437
"CU0070",983,878,1,104,0.893184130213632,0.00101729399796541,0.105798575788403
"CU0071",983,864,19,100,0.878942014242116,0.0193285859613428,0.101729399796541
"CU0072",983,890,12,81,0.905391658189217,0.0122075279755849,0.0824008138351984
"CU0073",983,904,3,76,0.919633774160732,0.00305188199389624,0.0773143438453713
"CU0074",983,900,4,79,0.915564598168871,0.00406917599186165,0.0803662258392675
"CU0075",983,898,2,83,0.91353001017294,0.00203458799593082,0.0844354018311292
"CU0076",983,882,1,100,0.897253306205493,0.00101729399796541,0.101729399796541
"CU0077",983,908,1,74,0.923702950152594,0.00101729399796541,0.0752797558494405
"CU0078",983,847,1,135,0.861648016276704,0.00101729399796541,0.137334689725331
"CU0079",983,886,5,92,0.901322482197355,0.00508646998982706,0.0935910478128179
"CU0080",983,853,1,129,0.867751780264496,0.00101729399796541,0.131230925737538
"CU0081",983,863,2,118,0.877924720244151,0.00203458799593082,0.120040691759919
"CU0082",983,908,2,73,0.923702950152594,0.00203458799593082,0.0742624618514751
"CU0083",983,910,1,72,0.925737538148525,0.00101729399796541,0.0732451678535097
"CU0084",983,851,4,128,0.865717192268566,0.00406917599186165,0.130213631739573
"CU0085",983,906,0,77,0.921668362156663,0,0.0783316378433367
"CU0086",983,870,2,111,0.885045778229908,0.00203458799593082,0.112919633774161
"CU0087",983,828,2,153,0.842319430315361,0.00203458799593082,0.155645981688708
"CU0088",983,887,1,95,0.90233977619532,0.00101729399796541,0.0966429298067141
"CU0089",983,895,2,86,0.910478128179044,0.00203458799593082,0.0874872838250254
"CU0090",983,866,2,115,0.880976602238047,0.00203458799593082,0.116988809766022
"CU0091",983,881,1,101,0.896236012207528,0.00101729399796541,0.102746693794507
"CU0092",983,883,4,96,0.898270600203459,0.00406917599186165,0.0976602238046795
"CU0093",983,909,2,72,0.92472024415056,0.00203458799593082,0.0732451678535097
"CU0094",983,851,9,123,0.865717192268566,0.00915564598168871,0.125127161749746
"CU0095",983,869,2,112,0.884028484231943,0.00203458799593082,0.113936927772126
"CU0096",983,883,2,98,0.898270600203459,0.00203458799593082,0.0996948118006104
"CU0097",983,887,2,94,0.90233977619532,0.00203458799593082,0.0956256358087487
"CU0098",983,901,3,79,0.916581892166836,0.00305188199389624,0.0803662258392675
"CU0099",983,632,3,348,0.64292980671414,0.00305188199389624,0.354018311291963
"CU0100",983,876,4,103,0.891149542217701,0.00406917599186165,0.104781281790437
"CU0101",983,680,3,300,0.69175991861648,0.00305188199389624,0.305188199389624
"CU0102",983,902,3,78,0.917599186164802,0.00305188199389624,0.0793489318413021
"CU0103",983,885,1,97,0.90030518819939,0.00101729399796541,0.098677517802645
"CU0104",983,885,1,97,0.90030518819939,0.00101729399796541,0.098677517802645
"CU0105",983,883,5,95,0.898270600203459,0.00508646998982706,0.0966429298067141
"CU0106",983,882,1,100,0.897253306205493,0.00101729399796541,0.101729399796541
"CU0107",983,883,1,99,0.898270600203459,0.00101729399796541,0.100712105798576
"CU0108",983,879,2,102,0.894201424211597,0.00203458799593082,0.103763987792472
"CU0109",983,880,5,98,0.895218718209563,0.00508646998982706,0.0996948118006104
"CU0110",983,878,1,104,0.893184130213632,0.00101729399796541,0.105798575788403
"CU0111",983,896,12,75,0.911495422177009,0.0122075279755849,0.0762970498474059
"CU0112",983,855,1,127,0.869786368260427,0.00101729399796541,0.129196337741607
"CU0113",983,893,4,86,0.908443540183113,0.00406917599186165,0.0874872838250254
"CU0114",983,883,3,97,0.898270600203459,0.00305188199389624,0.098677517802645
"CU0115",983,901,3,79,0.916581892166836,0.00305188199389624,0.0803662258392675
"CU0116",983,903,7,73,0.918616480162767,0.00712105798575788,0.0742624618514751
"CU0117",983,901,2,80,0.916581892166836,0.00203458799593082,0.081383519837233
"CU0118",983,859,2,122,0.873855544252289,0.00203458799593082,0.12410986775178
"CU0119",983,883,0,100,0.898270600203459,0,0.101729399796541
"CU0120",983,865,2,116,0.879959308240081,0.00203458799593082,0.118006103763988
"CU0121",983,897,5,81,0.912512716174975,0.00508646998982706,0.0824008138351984
"CU0122",983,880,2,101,0.895218718209563,0.00203458799593082,0.102746693794507
"CU0123",983,881,3,99,0.896236012207528,0.00305188199389624,0.100712105798576
"CU0124",983,865,1,117,0.879959308240081,0.00101729399796541,0.119023397761953
"CU0125",983,908,1,74,0.923702950152594,0.00101729399796541,0.0752797558494405
"CU0126",983,870,2,111,0.885045778229908,0.00203458799593082,0.112919633774161
"CU0127",983,896,4,83,0.911495422177009,0.00406917599186165,0.0844354018311292
"CU0128",983,863,3,117,0.877924720244151,0.00305188199389624,0.119023397761953
"CU0129",983,882,2,99,0.897253306205493,0.00203458799593082,0.100712105798576
"CU0130",983,870,2,111,0.885045778229908,0.00203458799593082,0.112919633774161
"CU0131",983,878,0,105,0.893184130213632,0,0.106815869786368
"CU0132",983,909,1,73,0.92472024415056,0.00101729399796541,0.0742624618514751
"CU0133",983,901,5,77,0.916581892166836,0.00508646998982706,0.0783316378433367
"CU0134",983,830,1,152,0.844354018311292,0.00101729399796541,0.154628687690743
"CU0135",983,865,2,116,0.879959308240081,0.00203458799593082,0.118006103763988
"CU0136",983,910,1,72,0.925737538148525,0.00101729399796541,0.0732451678535097
"CU0137",983,891,1,91,0.906408952187182,0.00101729399796541,0.0925737538148525
"CU0138",983,879,0,104,0.894201424211597,0,0.105798575788403
"CU0139",983,867,3,113,0.881993896236012,0.00305188199389624,0.114954221770092
"CU0140",983,804,0,179,0.817904374364191,0,0.182095625635809
"CU0141",983,903,3,77,0.918616480162767,0.00305188199389624,0.0783316378433367
"CU0142",983,878,2,103,0.893184130213632,0.00203458799593082,0.104781281790437
"CU0143",983,759,3,221,0.772126144455748,0.00305188199389624,0.224821973550356
"CU0144",983,902,6,75,0.917599186164802,0.00610376398779247,0.0762970498474059
"CU0145",983,904,5,74,0.919633774160732,0.00508646998982706,0.0752797558494405
"CU0146",983,879,2,102,0.894201424211597,0.00203458799593082,0.103763987792472
"CU0147",983,746,2,235,0.758901322482197,0.00203458799593082,0.239064089521872
"CU0148",983,890,2,91,0.905391658189217,0.00203458799593082,0.0925737538148525
"CU0149",983,878,2,103,0.893184130213632,0.00203458799593082,0.104781281790437
"CU0150",983,876,1,106,0.891149542217701,0.00101729399796541,0.107833163784334
"CU0151",983,900,5,78,0.915564598168871,0.00508646998982706,0.0793489318413021
"CU0152",983,874,5,104,0.88911495422177,0.00508646998982706,0.105798575788403
"CU0153",983,907,2,74,0.922685656154629,0.00203458799593082,0.0752797558494405
"CU0154",983,911,1,71,0.92675483214649,0.00101729399796541,0.0722278738555443
"CU0155",983,775,3,205,0.788402848423194,0.00305188199389624,0.208545269582909
"CU0156",983,858,1,124,0.872838250254323,0.00101729399796541,0.126144455747711
"CU0157",983,886,3,94,0.901322482197355,0.00305188199389624,0.0956256358087487
"CU0158",983,882,3,98,0.897253306205493,0.00305188199389624,0.0996948118006104
"CU0159",983,908,3,72,0.923702950152594,0.00305188199389624,0.0732451678535097
"CU0160",983,873,4,106,0.888097660223805,0.00406917599186165,0.107833163784334
"CU0161",983,864,4,115,0.878942014242116,0.00406917599186165,0.116988809766022
"CU0162",983,874,3,106,0.88911495422177,0.00305188199389624,0.107833163784334
"CU0163",983,901,3,79,0.916581892166836,0.00305188199389624,0.0803662258392675
"CU0164",983,875,1,107,0.890132248219735,0.00101729399796541,0.108850457782299
"CU0165",983,910,2,71,0.925737538148525,0.00203458799593082,0.0722278738555443
"CU0166",983,879,4,100,0.894201424211597,0.00406917599186165,0.101729399796541
"CU0167",983,878,2,103,0.893184130213632,0.00203458799593082,0.104781281790437
"CU0168",983,902,2,79,0.917599186164802,0.00203458799593082,0.0803662258392675
"CU0169",983,856,1,126,0.870803662258393,0.00101729399796541,0.128179043743642
"CU0170",983,860,3,120,0.874872838250254,0.00305188199389624,0.122075279755849
"CU0171",983,887,4,92,0.90233977619532,0.00406917599186165,0.0935910478128179
"CU0172",983,879,5,99,0.894201424211597,0.00508646998982706,0.100712105798576
"CU0173",983,827,33,123,0.841302136317396,0.0335707019328586,0.125127161749746
"CU0174",983,863,1,119,0.877924720244151,0.00101729399796541,0.121057985757884
"CU0175",983,897,3,83,0.912512716174975,0.00305188199389624,0.0844354018311292
"CU0176",983,880,2,101,0.895218718209563,0.00203458799593082,0.102746693794507
"CU0177",983,903,2,78,0.918616480162767,0.00203458799593082,0.0793489318413021
"CU0178",983,904,2,77,0.919633774160732,0.00203458799593082,0.0783316378433367
"CU0179",983,874,4,105,0.88911495422177,0.00406917599186165,0.106815869786368
"CU0180",983,892,2,89,0.907426246185148,0.00203458799593082,0.0905391658189217
"CU0181",983,902,2,79,0.917599186164802,0.00203458799593082,0.0803662258392675
"CU0182",983,874,1,108,0.88911495422177,0.00101729399796541,0.109867751780264
"CU0183",983,882,3,98,0.897253306205493,0.00305188199389624,0.0996948118006104
"CU0184",983,840,3,140,0.854526958290946,0.00305188199389624,0.142421159715158
"CU0185",983,877,0,106,0.892166836215666,0,0.107833163784334
"CU0186",983,875,2,106,0.890132248219735,0.00203458799593082,0.107833163784334
"CU0187",983,875,3,105,0.890132248219735,0.00305188199389624,0.106815869786368
"CU0188",983,903,1,79,0.918616480162767,0.00101729399796541,0.0803662258392675
"CU0189",983,853,4,126,0.867751780264496,0.00406917599186165,0.128179043743642
"CU0190",983,907,2,74,0.922685656154629,0.00203458799593082,0.0752797558494405
"CU0191",983,909,4,70,0.92472024415056,0.00406917599186165,0.0712105798575788
"CU0192",983,883,1,99,0.898270600203459,0.00101729399796541,0.100712105798576
"CU0193",983,892,2,89,0.907426246185148,0.00203458799593082,0.0905391658189217
"CU0194",983,862,2,119,0.876907426246185,0.00203458799593082,0.121057985757884
"CU0195",983,903,3,77,0.918616480162767,0.00305188199389624,0.0783316378433367
"CU0196",983,905,3,75,0.920651068158698,0.00305188199389624,0.0762970498474059
"CU0197",983,861,2,120,0.87589013224822,0.00203458799593082,0.122075279755849
"CU0198",983,889,2,92,0.904374364191251,0.00203458799593082,0.0935910478128179
"CU0199",983,887,2,94,0.90233977619532,0.00203458799593082,0.0956256358087487
"CU0200",983,770,3,210,0.783316378433367,0.00305188199389624,0.213631739572737
"CU0201",983,904,2,77,0.919633774160732,0.00203458799593082,0.0783316378433367
"CU0202",983,869,8,106,0.884028484231943,0.0081383519837233,0.107833163784334
"DOE5D-0742",983,799,169,15,0.812817904374364,0.171922685656155,0.0152594099694812
"DOE5F-1164",983,852,75,56,0.866734486266531,0.0762970498474059,0.0569684638860631
"DOE5G-1240",983,746,209,28,0.758901322482197,0.212614445574771,0.0284842319430315
"DOE5H-1556",983,775,203,5,0.788402848423194,0.206510681586979,0.00508646998982706
"JVLJ-690-1",983,855,23,105,0.869786368260427,0.0233977619532045,0.106815869786368
"JVLJ-690-11",983,831,32,120,0.845371312309257,0.0325534079348932,0.122075279755849
"JVLJ-690-13",983,805,37,141,0.818921668362157,0.0376398779247202,0.143438453713123
"JVLJ-690-15",983,834,37,112,0.848423194303154,0.0376398779247202,0.113936927772126
"JVLJ-690-17",983,845,38,100,0.859613428280773,0.0386571719226857,0.101729399796541
"JVLJ-690-19",983,830,24,129,0.844354018311292,0.0244150559511699,0.131230925737538
"JVLJ-690-3",983,820,19,144,0.834181078331638,0.0193285859613428,0.146490335707019
